count,lon,lat,area
4,-87.6,41.1,"POLYGON((-87.6 41.1,-87.6 41.2,-87.5 41.2,-87.5 41.1,-87.6 41.1))"
306,-87.5,41.1,"POLYGON((-87.5 41.1,-87.5 41.2,-87.4 41.2,-87.4 41.1,-87.5 41.1))"
318,-87.4,41.1,"POLYGON((-87.4 41.1,-87.4 41.2,-87.3 41.2,-87.3 41.1,-87.4 41.1))"
135,-87.6,41.2,"POLYGON((-87.6 41.2,-87.6 41.3,-87.5 41.3,-87.5 41.2,-87.6 41.2))"
3324,-87.5,41.2,"POLYGON((-87.5 41.2,-87.5 41.3,-87.4 41.3,-87.4 41.2,-87.5 41.2))"
942,-87.4,41.2,"POLYGON((-87.4 41.2,-87.4 41.3,-87.3 41.3,-87.3 41.2,-87.4 41.2))"
112,-87.3,41.2,"POLYGON((-87.3 41.2,-87.3 41.3,-87.2 41.3,-87.2 41.2,-87.3 41.2))"
261,-87.6,41.3,"POLYGON((-87.6 41.3,-87.6 41.4,-87.5 41.4,-87.5 41.3,-87.6 41.3))"
8558,-87.5,41.3,"POLYGON((-87.5 41.3,-87.5 41.4,-87.4 41.4,-87.4 41.3,-87.5 41.3))"
4267,-87.4,41.3,"POLYGON((-87.4 41.3,-87.4 41.4,-87.3 41.4,-87.3 41.3,-87.4 41.3))"
1307,-87.3,41.3,"POLYGON((-87.3 41.3,-87.3 41.4,-87.2 41.4,-87.2 41.3,-87.3 41.3))"
5235,-87.6,41.4,"POLYGON((-87.6 41.4,-87.6 41.5,-87.5 41.5,-87.5 41.4,-87.6 41.4))"
18511,-87.5,41.4,"POLYGON((-87.5 41.4,-87.5 41.5,-87.4 41.5,-87.4 41.4,-87.5 41.4))"
20232,-87.4,41.4,"POLYGON((-87.4 41.4,-87.4 41.5,-87.3 41.5,-87.3 41.4,-87.4 41.4))"
5099,-87.3,41.4,"POLYGON((-87.3 41.4,-87.3 41.5,-87.2 41.5,-87.2 41.4,-87.3 41.4))"
11999,-87.6,41.5,"POLYGON((-87.6 41.5,-87.6 41.6,-87.5 41.6,-87.5 41.5,-87.6 41.5))"
35785,-87.5,41.5,"POLYGON((-87.5 41.5,-87.5 41.6,-87.4 41.6,-87.4 41.5,-87.5 41.5))"
33009,-87.4,41.5,"POLYGON((-87.4 41.5,-87.4 41.6,-87.3 41.6,-87.3 41.5,-87.4 41.5))"
17933,-87.3,41.5,"POLYGON((-87.3 41.5,-87.3 41.6,-87.2 41.6,-87.2 41.5,-87.3 41.5))"
9782,-87.6,41.6,"POLYGON((-87.6 41.6,-87.6 41.7,-87.5 41.7,-87.5 41.6,-87.6 41.6))"
12398,-87.5,41.6,"POLYGON((-87.5 41.6,-87.5 41.7,-87.4 41.7,-87.4 41.6,-87.5 41.6))"
2784,-87.4,41.6,"POLYGON((-87.4 41.6,-87.4 41.7,-87.3 41.7,-87.3 41.6,-87.4 41.6))"
2986,-87.3,41.6,"POLYGON((-87.3 41.6,-87.3 41.7,-87.2 41.7,-87.2 41.6,-87.3 41.6))"
3,-87.6,41.7,"POLYGON((-87.6 41.7,-87.6 41.8,-87.5 41.8,-87.5 41.7,-87.6 41.7))"
